DATE,PRCP_IL,SNOW_IL,SNWD_IL,TMAX_IL,TMIN_IL,TOBS_IL,WESF_IL,PRCP_SD,SNOW_SD,SNWD_SD,TMAX_SD,TMIN_SD,TOBS_SD,WESF_SD,PRCP_MI,SNOW_MI,SNWD_MI,TMAX_MI,TMIN_MI,TOBS_MI,WESF_MI,PRCP_MO,SNOW_MO,SNWD_MO,TMAX_MO,TMIN_MO,TOBS_MO,WESF_MO,PRCP_AR,SNOW_AR,SNWD_AR,TMAX_AR,TMIN_AR,TOBS_AR,WESF_AR,PRCP_MN,SNOW_MN,SNWD_MN,TMAX_MN,TMIN_MN,TOBS_MN,WESF_MN,PRCP_KS,SNOW_KS,SNWD_KS,TMAX_KS,TMIN_KS,TOBS_KS,WESF_KS,PRCP_IA,SNOW_IA,SNWD_IA,TMAX_IA,TMIN_IA,TOBS_IA,WESF_IA,PRCP_ND,SNOW_ND,SNWD_ND,TMAX_ND,TMIN_ND,TOBS_ND,WESF_ND,PRCP_IN,SNOW_IN,SNWD_IN,TMAX_IN,TMIN_IN,TOBS_IN,WESF_IN,PRCP_OH,SNOW_OH,SNWD_OH,TMAX_OH,TMIN_OH,TOBS_OH,WESF_OH,PRCP_TN,SNOW_TN,SNWD_TN,TMAX_TN,TMIN_TN,TOBS_TN,WESF_TN
2020-07-01,0,0,0,,,,,51.0,0.0,0.0,306.0,178.0,,,0.0,0.0,0.0,300.0,161.0,172.0,,10,,,,,,,0,0,0,322,239,250,,,,,289.0,178.0,,,3.0,,,,,,,89.0,0.0,0.0,261.0,206.0,206.0,,701.0,,,,,,,0,0,0,,211,228.0,,0.0,0.0,0.0,300.0,167.0,,,18.0,0.0,0.0,322.0,211.0,217.0,
2020-07-02,0,0,0,,,,,0.0,0.0,0.0,322.0,183.0,,,0.0,0.0,0.0,306.0,150.0,167.0,,51,,,,,,,48,0,0,300,217,217,,,,,328.0,139.0,,,0.0,0.0,,,,,,0.0,0.0,0.0,261.0,194.0,200.0,,0.0,,,,,,,0,0,0,306.0,183,211.0,,0.0,0.0,0.0,322.0,178.0,,,312.0,0.0,0.0,311.0,200.0,211.0,
2020-07-03,0,0,0,,,,,18.0,0.0,0.0,339.0,194.0,,,0.0,0.0,0.0,333.0,167.0,217.0,,0,0.0,,,,,,0,0,0,311,217,228,,,,,339.0,178.0,,,8.0,,,,,,,0.0,0.0,0.0,300.0,194.0,222.0,,0.0,,,,,,,0,0,0,317.0,189,228.0,,0.0,0.0,0.0,333.0,178.0,,,0.0,0.0,0.0,317.0,211.0,289.0,
2020-07-04,0,0,0,,,,,3.0,0.0,0.0,333.0,206.0,,,0.0,0.0,0.0,317.0,194.0,206.0,,79,,,,,,,0,0,0,322,228,233,,,,,294.0,172.0,,,0.0,0.0,,,,,,0.0,0.0,0.0,300.0,194.0,222.0,,81.0,,,,,,,0,0,0,322.0,200,244.0,,0.0,0.0,0.0,333.0,200.0,,,0.0,0.0,0.0,344.0,222.0,294.0,
2020-07-05,0,0,0,,,,,30.0,0.0,0.0,306.0,200.0,,,0.0,0.0,0.0,311.0,139.0,161.0,,0,0.0,,,,,,0,0,0,317,228,233,,,,,322.0,189.0,,,0.0,0.0,,,,,,0.0,0.0,0.0,300.0,189.0,228.0,,3.0,,,,,,,0,0,0,311.0,206,233.0,,0.0,0.0,0.0,328.0,167.0,,,0.0,0.0,0.0,322.0,239.0,322.0,
2020-07-06,0,0,0,,,,,8.0,0.0,0.0,311.0,194.0,,,0.0,0.0,0.0,328.0,161.0,194.0,,0,0.0,,,,,,0,0,0,328,222,244,,,,,272.0,161.0,,,0.0,0.0,,,,,,0.0,0.0,0.0,306.0,200.0,244.0,,213.0,,,,,,,198,0,0,,206,239.0,,0.0,0.0,0.0,344.0,183.0,,,0.0,0.0,0.0,333.0,217.0,217.0,
2020-07-07,0,0,0,,,,,8.0,0.0,0.0,306.0,189.0,,,0.0,0.0,0.0,333.0,194.0,244.0,,0,0.0,,,,,,0,0,0,328,233,233,,,,,294.0,133.0,,,0.0,0.0,,,,,,0.0,0.0,0.0,311.0,228.0,233.0,,0.0,,,,,,,0,0,0,311.0,211,233.0,,0.0,0.0,0.0,344.0,211.0,,,0.0,0.0,0.0,333.0,211.0,211.0,
2020-07-08,3,0,0,,,,,25.0,0.0,0.0,317.0,189.0,,,3.0,0.0,0.0,344.0,211.0,217.0,,0,0.0,,,,,,0,0,0,333,233,233,,,,,289.0,189.0,,,0.0,0.0,,,,,,0.0,0.0,0.0,322.0,233.0,256.0,,318.0,,,,,,,61,0,0,333.0,206,261.0,,25.0,0.0,0.0,339.0,194.0,,,0.0,0.0,0.0,328.0,211.0,217.0,
2020-07-09,13,0,0,,,,,0.0,0.0,0.0,311.0,167.0,,,0.0,0.0,0.0,328.0,217.0,239.0,,0,0.0,,,,,,0,0,0,322,233,244,,,,,256.0,178.0,,,254.0,,,,,,,0.0,0.0,0.0,317.0,228.0,250.0,,0.0,,,,,,,0,0,0,328.0,244,256.0,,0.0,0.0,0.0,344.0,217.0,,,13.0,0.0,0.0,322.0,217.0,217.0,
2020-07-10,127,0,0,,,,,0.0,0.0,0.0,322.0,144.0,,,81.0,0.0,0.0,344.0,211.0,228.0,,0,0.0,,,,,,0,0,0,322,217,217,,,,,272.0,156.0,,,0.0,0.0,,,,,,0.0,0.0,0.0,306.0,178.0,194.0,,0.0,,,,,,,0,0,0,328.0,222,228.0,,3.0,0.0,0.0,339.0,228.0,,,0.0,0.0,0.0,333.0,217.0,228.0,
2020-07-11,0,0,0,,,,,0.0,0.0,0.0,283.0,172.0,,,307.0,0.0,0.0,300.0,183.0,183.0,,0,0.0,,,,,,0,0,0,333,217,233,,,,,267.0,128.0,,,0.0,0.0,,,,,,0.0,0.0,0.0,317.0,194.0,244.0,,0.0,,,,,,,53,0,0,289.0,189,211.0,,41.0,0.0,0.0,289.0,200.0,,,0.0,0.0,0.0,333.0,228.0,267.0,
2020-07-12,140,0,0,,,,,0.0,0.0,0.0,306.0,139.0,,,0.0,0.0,0.0,289.0,167.0,172.0,,0,0.0,,,,,,0,0,0,344,233,267,,,,,278.0,111.0,,,224.0,,,,,,,0.0,0.0,0.0,317.0,178.0,194.0,,0.0,,,,,,,0,0,0,256.0,194,194.0,,0.0,0.0,0.0,283.0,183.0,,,0.0,0.0,0.0,350.0,256.0,283.0,
2020-07-13,0,0,0,,,,,0.0,0.0,0.0,317.0,200.0,,,0.0,0.0,0.0,239.0,156.0,178.0,,0,0.0,,,,,,0,0,0,333,206,217,,,,,272.0,161.0,,,0.0,0.0,,,,,,0.0,0.0,0.0,283.0,172.0,189.0,,0.0,,,,,,,0,0,0,272.0,144,178.0,,43.0,0.0,0.0,272.0,172.0,,,91.0,0.0,0.0,306.0,200.0,200.0,
2020-07-14,0,0,0,,,,,28.0,0.0,0.0,272.0,156.0,,,0.0,0.0,0.0,256.0,139.0,150.0,,0,0.0,,,,,,0,0,0,322,211,217,,,,,239.0,150.0,,,0.0,,,,,,,0.0,0.0,0.0,294.0,183.0,206.0,,0.0,,,,,,,0,0,0,294.0,144,200.0,,0.0,0.0,0.0,300.0,144.0,,,0.0,0.0,0.0,322.0,200.0,206.0,
2020-07-15,0,0,0,,,,,0.0,0.0,0.0,294.0,117.0,,,0.0,0.0,0.0,289.0,144.0,200.0,,0,0.0,,,,,,0,0,0,333,217,256,,,,,267.0,139.0,,,8.0,,,,,,,513.0,0.0,0.0,300.0,189.0,206.0,,0.0,,,,,,,0,0,0,300.0,178,261.0,,0.0,0.0,0.0,317.0,178.0,,,0.0,0.0,0.0,339.0,206.0,222.0,
2020-07-16,180,0,0,,,,,66.0,0.0,0.0,322.0,172.0,,,30.0,0.0,0.0,306.0,194.0,194.0,,97,,,,,,,0,0,0,339,256,256,,,,,267.0,150.0,,,109.0,,,,,,,152.0,0.0,0.0,239.0,172.0,183.0,,0.0,,,,,,,0,0,0,261.0,206,206.0,,8.0,0.0,0.0,328.0,233.0,,,0.0,0.0,0.0,356.0,222.0,233.0,
2020-07-17,0,0,0,,,,,0.0,0.0,0.0,350.0,161.0,,,53.0,0.0,0.0,228.0,167.0,183.0,,0,0.0,,,,,,0,0,0,322,239,244,,,,,311.0,117.0,,,0.0,0.0,,,,,,0.0,0.0,0.0,278.0,183.0,217.0,,0.0,,,,,,,0,0,0,306.0,178,217.0,,0.0,0.0,0.0,322.0,211.0,,,173.0,0.0,0.0,344.0,228.0,239.0,
2020-07-18,0,0,0,,,,,0.0,0.0,0.0,300.0,178.0,,,0.0,0.0,0.0,300.0,172.0,183.0,,0,0.0,,,,,,0,0,0,322,233,239,,,,,289.0,178.0,,,0.0,0.0,,,,,,0.0,0.0,0.0,317.0,217.0,250.0,,455.0,,,,,,,0,0,0,317.0,178,261.0,,0.0,0.0,0.0,339.0,206.0,,,0.0,0.0,0.0,344.0,222.0,283.0,
2020-07-19,33,0,0,,,,,0.0,0.0,0.0,300.0,139.0,,,0.0,0.0,0.0,317.0,183.0,261.0,,0,0.0,,,,,,0,0,0,333,239,283,,,,,233.0,144.0,,,,,,,,,,28.0,0.0,0.0,317.0,244.0,244.0,,0.0,,,,,,,97,0,0,306.0,239,256.0,,0.0,0.0,0.0,344.0,233.0,,,0.0,0.0,0.0,350.0,222.0,278.0,
2020-07-20,191,0,0,,,,,38.0,0.0,0.0,294.0,150.0,,,191.0,0.0,0.0,278.0,183.0,194.0,,378,,,,,,,0,0,0,344,250,250,,,,,256.0,106.0,,,0.0,0.0,,,,,,33.0,0.0,0.0,278.0,206.0,217.0,,0.0,,,,,,,76,0,0,278.0,206,206.0,,0.0,0.0,0.0,306.0,222.0,,,0.0,0.0,0.0,344.0,222.0,228.0,
2020-07-21,0,0,0,,,,,,,,,,,,,,,,,,,163,,,,,,,0,0,0,350,250,256,,,,,,,,,414.0,,,,,,,,,,,,,,,,,,,,,259,0,0,289.0,194,,,,,,,,,,,,,,,,
