DATE,PRCP_IL,SNOW_IL,SNWD_IL,TMAX_IL,TMIN_IL,TOBS_IL,WESF_IL,PRCP_SD,SNOW_SD,SNWD_SD,TMAX_SD,TMIN_SD,TOBS_SD,WESF_SD,PRCP_MI,SNOW_MI,SNWD_MI,TMAX_MI,TMIN_MI,TOBS_MI,WESF_MI,PRCP_MO,SNOW_MO,SNWD_MO,TMAX_MO,TMIN_MO,TOBS_MO,WESF_MO,PRCP_AR,SNOW_AR,SNWD_AR,TMAX_AR,TMIN_AR,TOBS_AR,WESF_AR,PRCP_MN,SNOW_MN,SNWD_MN,TMAX_MN,TMIN_MN,TOBS_MN,WESF_MN,PRCP_KS,SNOW_KS,SNWD_KS,TMAX_KS,TMIN_KS,TOBS_KS,WESF_KS,PRCP_IA,SNOW_IA,SNWD_IA,TMAX_IA,TMIN_IA,TOBS_IA,WESF_IA,PRCP_ND,SNOW_ND,SNWD_ND,TMAX_ND,TMIN_ND,TOBS_ND,WESF_ND,PRCP_IN,SNOW_IN,SNWD_IN,TMAX_IN,TMIN_IN,TOBS_IN,WESF_IN,PRCP_OH,SNOW_OH,SNWD_OH,TMAX_OH,TMIN_OH,TOBS_OH,WESF_OH,PRCP_TN,SNOW_TN,SNWD_TN,TMAX_TN,TMIN_TN,TOBS_TN,WESF_TN
2021-01-01,0,0.0,51,,,,,0.0,0.0,102.0,-11.0,-161.0,,,0,0,25,-11,-106,-94,,239,0,5.0,,,,,160,0,0,28,6,28,,,,,6,-89,,,5.0,51.0,51.0,,,,5.0,0.0,0.0,102.0,-44.0,-117.0,-72.0,,,,,,,,,,,,,,,,163.0,0.0,25.0,72.0,-17.0,,,,,,,,,
2021-01-02,127,51.0,76,,,,,0.0,0.0,102.0,-11.0,-128.0,,,86,53,51,6,-106,6,,18,5,0.0,,,,,0,0,0,78,17,17,,,,,33,-61,,,10.0,51.0,102.0,,,,5.0,89.0,56.0,152.0,-50.0,-117.0,-106.0,,,,,,,,,,,,,,,,5.0,0.0,0.0,89.0,22.0,,,0.0,,,144.0,44.0,50.0,
2021-01-03,25,25.0,102,,,,,0.0,0.0,51.0,-11.0,-128.0,,,0,0,51,17,-28,-11,,30,18,13.0,,,,,0,0,0,33,-17,-11,,,,,89,-72,,,0.0,0.0,76.0,,,,,0.0,0.0,152.0,-39.0,-156.0,-133.0,,,,,,,,,,,,,,,,36.0,0.0,0.0,44.0,17.0,,,13.0,,,83.0,-17.0,67.0,
2021-01-04,0,0.0,76,,,,,0.0,0.0,51.0,50.0,-100.0,,,0,0,51,22,-17,-6,,0,0,,,,,,0,0,0,89,-11,-6,,,,,50,-56,,,0.0,0.0,25.0,,,,,0.0,0.0,152.0,6.0,-139.0,-28.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,22.0,6.0,,,0.0,,,122.0,6.0,17.0,
2021-01-05,0,0.0,76,,,,,8.0,0.0,51.0,44.0,-122.0,,,0,0,51,6,-22,-22,,0,0,,,,,,0,0,0,106,-6,11,,,,,11,-161,,,0.0,0.0,,,,,,0.0,0.0,127.0,22.0,-72.0,-72.0,,,,,,,,,,,,,,,,5.0,0.0,0.0,17.0,0.0,,,0.0,,,150.0,17.0,39.0,
2021-01-06,0,0.0,76,,,,,41.0,15.0,51.0,28.0,11.0,,,3,3,25,6,-22,6,,0,0,,,,,,0,0,0,94,6,6,,,,,-6,-83,,,0.0,0.0,,,,,,0.0,0.0,0.0,39.0,-94.0,-6.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,28.0,0.0,,,0.0,,,111.0,-17.0,-6.0,
2021-01-07,0,0.0,76,,,,,0.0,0.0,25.0,17.0,-61.0,,,33,13,51,17,-6,0,,0,0,,,,,,3,0,0,67,-6,22,,,,,-39,-133,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,0.0,11.0,-17.0,,,0.0,,,122.0,-6.0,50.0,
2021-01-08,0,0.0,76,,,,,0.0,3.0,25.0,11.0,6.0,,,0,0,25,17,-33,-28,,0,0,,,,,,25,0,0,22,-6,-6,,,,,-39,-161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,11.0,-33.0,,,89.0,,,61.0,11.0,17.0,
2021-01-09,0,0.0,51,,,,,3.0,0.0,25.0,22.0,-6.0,,,0,0,25,-17,-50,-44,,0,0,,,,,,0,0,0,28,-6,6,,,,,-22,-44,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,50.0,-72.0,,,0.0,,,39.0,6.0,17.0,
2021-01-10,0,0.0,51,,,,,0.0,0.0,0.0,11.0,-39.0,,,0,0,25,17,-67,-28,,0,0,,,,,,0,0,0,17,-11,-6,,,,,22,-56,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,56.0,-56.0,,,0.0,,,17.0,-6.0,0.0,
2021-01-11,0,0.0,51,,,,,0.0,0.0,0.0,39.0,-78.0,,,0,0,25,-17,-39,-33,,0,0,,,,,,0,0,0,0,-22,-22,,,,,11,-50,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,6.0,-28.0,,,0.0,,,22.0,-17.0,-11.0,
2021-01-12,0,0.0,51,,,,,0.0,0.0,0.0,72.0,-78.0,,,0,0,25,-11,-39,-33,,0,0,,,,,,0,0,0,11,-44,-39,,,,,33,-61,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,-17.0,-39.0,,,18.0,,,6.0,-78.0,-22.0,
2021-01-13,0,0.0,51,,,,,28.0,0.0,0.0,67.0,-22.0,,,0,0,25,0,-33,0,,0,0,,,,,,0,0,0,72,-44,-22,,,,,67,-111,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,67.0,-33.0,,,0.0,,,83.0,-50.0,-22.0,
2021-01-14,0,0.0,51,,,,,8.0,0.0,0.0,72.0,0.0,,,0,0,25,33,-28,6,,0,0,,,,,,0,0,0,100,-28,33,,,,,28,-11,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,78.0,22.0,,,0.0,,,122.0,-28.0,17.0,
2021-01-15,56,0.0,51,,,,,0.0,0.0,0.0,0.0,-39.0,,,0,0,25,33,0,22,,5,3,0.0,,,,,0,0,0,144,0,0,,,,,-6,-83,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,33.0,0.0,67.0,-11.0,,,0.0,,,156.0,-11.0,-6.0,
2021-01-16,20,25.0,51,,,,,0.0,0.0,0.0,11.0,-44.0,,,64,3,25,22,-33,-28,,61,66,,,,,,3,3,0,61,-6,11,,,,,-78,-100,,,3.0,25.0,25.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,23.0,18.0,0.0,11.0,-6.0,,,,,,,,,
2021-01-17,5,5.0,51,,,,,0.0,0.0,0.0,33.0,-61.0,,,3,3,25,0,-33,0,,0,0,,,,,,0,0,0,72,0,33,,,,,-61,-106,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,20.0,25.0,22.0,-6.0,,,0.0,,,67.0,-17.0,28.0,
2021-01-18,0,,51,,,,,5.0,5.0,0.0,0.0,-67.0,,,15,15,51,6,-28,-28,,0,0,25.0,,,,,0,0,0,94,-11,-11,,,,,-106,-189,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,25.0,0.0,-17.0,,,0.0,,,106.0,-33.0,-33.0,
2021-01-19,0,0.0,51,,,,,8.0,10.0,25.0,11.0,-144.0,,,13,15,51,-11,-33,-33,,0,0,,,,,,0,0,0,128,-11,67,,,,,-144,-211,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,25.0,11.0,-28.0,,,0.0,,,144.0,-33.0,78.0,
