DATE,PRCP_IL,SNOW_IL,SNWD_IL,PRCP_SD,SNOW_SD,SNWD_SD,TMAX_SD,TMIN_SD,PRCP_MI,SNOW_MI,SNWD_MI,TMAX_MI,TMIN_MI,TOBS_MI,PRCP_MO,SNOW_MO,SNWD_MO,PRCP_AR,SNOW_AR,SNWD_AR,TMAX_AR,TMIN_AR,TOBS_AR,PRCP_KS,SNOW_KS,SNWD_KS,WESF_KS,PRCP_IA,SNOW_IA,SNWD_IA,TMAX_IA,TMIN_IA,TOBS_IA,PRCP_ND,SNOW_ND,SNWD_ND,PRCP_IN,SNOW_IN,SNWD_IN,TMAX_IN,TMIN_IN,TOBS_IN,PRCP_OH,SNOW_OH,SNWD_OH,TMAX_OH,TMIN_OH,PRCP_TN,SNOW_TN,SNWD_TN,TMAX_TN,TMIN_TN,TOBS_TN
2020-01-01,0.0,0,0,0,0.0,380.0,28,-105,18.0,20.0,25.0,-6.0,-33.0,-33.0,0.0,0.0,,0,0,0,111,-6,6,0.0,0.0,,,0,0,0,11.0,-22.0,-22.0,0,0.0,,0.0,0.0,0.0,,,,0,0.0,30.0,33,-27,0,0,0,111,-17,-17
2020-01-02,0.0,0,0,10,0.0,330.0,17,-16,0.0,0.0,25.0,44.0,-39.0,22.0,0.0,0.0,,0,0,0,94,6,72,0.0,0.0,,,0,0,0,100.0,-22.0,28.0,0,0.0,,0.0,0.0,0.0,,,,0,0.0,0.0,83,6,64,0,0,133,-17,72
2020-01-03,0.0,0,0,20,43.0,300.0,17,-149,0.0,0.0,0.0,72.0,17.0,39.0,0.0,0.0,,272,0,0,106,67,100,0.0,0.0,,,0,0,0,100.0,-11.0,-6.0,0,0.0,,104.0,0.0,0.0,,,,99,0.0,0.0,100,72,399,0,0,139,72,133
2020-01-04,56.0,53,51,0,0.0,360.0,-21,-193,0.0,0.0,0.0,39.0,-6.0,-6.0,0.0,0.0,,0,0,0,122,17,17,0.0,0.0,,,0,0,0,100.0,-22.0,-17.0,0,0.0,,0.0,0.0,0.0,,,,51,10.0,0.0,72,-5,51,0,0,156,22,33
2020-01-05,0.0,0,25,0,0.0,360.0,56,-71,,,,,,,0.0,0.0,,0,0,0,83,6,6,0.0,0.0,,,0,0,0,28.0,-17.0,28.0,0,0.0,,0.0,0.0,0.0,,,,0,0.0,0.0,44,-10,0,0,0,67,-22,39
2020-01-06,0.0,0,0,0,0.0,300.0,0,-138,48.0,36.0,25.0,6.0,-22.0,-11.0,0.0,0.0,,0,0,0,150,6,11,0.0,0.0,,,0,0,0,67.0,-33.0,0.0,0,0.0,,0.0,0.0,0.0,,,,0,0.0,0.0,56,-10,0,0,0,167,22,44
2020-01-07,0.0,0,0,0,0.0,300.0,-43,-216,0.0,0.0,0.0,28.0,-39.0,-11.0,0.0,0.0,,0,0,0,89,11,17,0.0,0.0,,,0,0,0,67.0,-33.0,-28.0,0,0.0,,0.0,0.0,0.0,,,,0,0.0,0.0,67,-27,0,0,0,156,11,17
2020-01-08,0.0,0,0,0,0.0,300.0,-77,-210,0.0,0.0,0.0,33.0,-67.0,-61.0,0.0,0.0,,0,0,0,122,6,6,0.0,0.0,,,0,0,0,61.0,-100.0,-100.0,0,0.0,,0.0,0.0,0.0,,,,18,18.0,0.0,22,-82,0,0,0,128,0,0
2020-01-09,0.0,0,0,0,0.0,300.0,-32,-116,0.0,0.0,0.0,-56.0,-100.0,-72.0,0.0,0.0,,0,0,0,133,6,61,0.0,0.0,,,0,0,0,67.0,-100.0,67.0,0,0.0,,61.0,0.0,0.0,,,,0,0.0,30.0,94,-93,0,0,0,183,-6,50
2020-01-10,13.0,0,0,8,5.0,300.0,-110,-260,0.0,0.0,0.0,83.0,-72.0,78.0,5.0,,,41,0,0,150,61,150,20.0,,,,0,0,0,161.0,-39.0,-39.0,0,0.0,,533.0,0.0,0.0,,,,140,0.0,0.0,122,67,0,0,0,178,50,150
2020-01-11,229.0,0,0,0,0.0,300.0,-121,-293,201.0,0.0,0.0,78.0,17.0,17.0,729.0,,,864,0,0,189,100,100,,0.0,0.0,,323,10,0,-11.0,-89.0,-89.0,0,0.0,,325.0,0.0,0.0,,,,56,0.0,0.0,206,117,483,0,0,200,128,133
2020-01-12,13.0,20,0,0,0.0,300.0,-55,-188,249.0,41.0,51.0,17.0,-72.0,-72.0,69.0,46.0,38.0,33,0,0,100,-22,-22,13.0,102.0,102.0,13.0,18,38,51,-67.0,-94.0,-67.0,0,0.0,,20.0,0.0,0.0,,,,0,0.0,0.0,161,17,64,0,0,172,22,44
2020-01-13,0.0,0,0,0,0.0,300.0,-27,-121,18.0,23.0,76.0,-39.0,-72.0,-39.0,0.0,0.0,,0,0,0,33,-22,22,0.0,0.0,51.0,,8,8,51,-22.0,-67.0,-28.0,0,0.0,,0.0,0.0,0.0,,,,0,0.0,0.0,78,11,0,0,0,117,6,106
2020-01-14,0.0,0,0,5,10.0,280.0,-55,-171,3.0,3.0,51.0,-6.0,-39.0,-6.0,0.0,0.0,,0,0,0,61,22,56,0.0,0.0,,,8,0,25,17.0,-28.0,0.0,0,0.0,,0.0,0.0,0.0,,,,0,0.0,0.0,128,6,104,0,0,144,6,111
2020-01-15,0.0,0,0,10,20.0,300.0,-160,-249,0.0,0.0,25.0,22.0,-11.0,-11.0,0.0,0.0,,0,0,0,117,56,94,0.0,0.0,,,0,0,0,17.0,-28.0,-17.0,58,76.0,406.0,0.0,0.0,0.0,,,,10,0.0,0.0,117,17,18,0,0,194,106,167
2020-01-16,0.0,0,0,0,0.0,300.0,-116,-310,8.0,10.0,25.0,17.0,-17.0,-17.0,0.0,0.0,,0,0,0,172,44,44,0.0,0.0,,,0,0,0,-11.0,-178.0,-172.0,0,0.0,,0.0,0.0,0.0,,,,5,5.0,0.0,67,-32,437,0,0,200,56,89
2020-01-17,0.0,0,0,43,74.0,300.0,-32,-121,18.0,38.0,51.0,-17.0,-78.0,-78.0,3.0,,,0,0,0,44,-11,-6,64.0,,,,0,0,0,-89.0,-172.0,-89.0,0,0.0,,0.0,0.0,0.0,,,,3,5.0,0.0,-27,-49,0,0,0,100,17,22
2020-01-18,229.0,84,76,5,5.0,360.0,-121,-205,8.0,8.0,51.0,-44.0,-78.0,-44.0,411.0,,,183,0,0,128,-6,94,0.0,,,,132,99,102,6.0,-89.0,-17.0,0,0.0,,201.0,0.0,0.0,,,,198,119.0,50.0,61,-38,127,0,0,161,22,161
2020-01-19,0.0,0,51,0,0.0,360.0,-171,-243,130.0,91.0,102.0,17.0,-50.0,-50.0,0.0,0.0,,0,0,0,94,-17,-17,0.0,0.0,,,0,0,102,-17.0,-189.0,-189.0,18,25.0,406.0,0.0,0.0,0.0,,,,13,20.0,30.0,0,-93,0,0,0,178,-11,17
2020-01-20,0.0,0,51,0,0.0,360.0,-171,-271,18.0,18.0,152.0,-50.0,-106.0,-106.0,0.0,0.0,,0,0,0,56,-67,-67,0.0,0.0,,,0,0,102,-139.0,-194.0,-161.0,0,0.0,,0.0,0.0,0.0,,,,15,33.0,30.0,-27,-105,0,0,0,100,-67,-56
2020-01-21,0.0,0,51,0,0.0,360.0,-27,-182,0.0,0.0,102.0,-44.0,-117.0,-61.0,15.0,25.0,,0,0,0,-28,-72,-50,0.0,0.0,,,8,8,102,-117.0,-217.0,-178.0,0,0.0,,0.0,0.0,0.0,,,,0,0.0,50.0,-43,-99,0,0,0,-22,-61,-50
2020-01-22,0.0,0,25,0,0.0,360.0,11,-71,0.0,0.0,102.0,-28.0,-78.0,-61.0,0.0,0.0,,0,0,0,-6,-50,-28,25.0,51.0,51.0,25.0,0,0,102,-17.0,-183.0,-17.0,0,0.0,406.0,0.0,0.0,0.0,,,,0,0.0,50.0,11,-110,0,0,0,39,-56,-50
2020-01-23,15.0,15,25,0,0.0,330.0,-38,-71,0.0,0.0,102.0,6.0,-61.0,-28.0,66.0,10.0,13.0,69,0,0,17,-28,11,0.0,0.0,,,53,51,127,0.0,-17.0,0.0,0,0.0,,10.0,0.0,0.0,,,,0,0.0,0.0,56,-32,25,0,0,61,-50,11
2020-01-24,89.0,13,25,0,0.0,330.0,-32,-43,3.0,3.0,102.0,22.0,-33.0,0.0,132.0,140.0,140.0,79,0,0,39,11,33,51.0,51.0,51.0,51.0,94,114,203,39.0,-11.0,-11.0,0,0.0,,89.0,0.0,0.0,,,,185,0.0,0.0,78,28,127,0,0,67,11,33
2020-01-25,102.0,76,76,0,0.0,330.0,-38,-71,58.0,0.0,51.0,28.0,0.0,22.0,10.0,8.0,,0,0,0,44,11,22,0.0,0.0,,,8,5,203,0.0,-22.0,-22.0,0,0.0,,43.0,0.0,0.0,,,,30,8.0,0.0,72,6,13,0,0,72,22,33
2020-01-26,8.0,8,76,0,0.0,330.0,22,-110,28.0,0.0,51.0,28.0,0.0,6.0,0.0,0.0,,0,0,0,89,22,56,0.0,0.0,,,0,0,178,0.0,-83.0,-50.0,0,0.0,406.0,13.0,0.0,0.0,,,,8,8.0,0.0,11,6,8,0,0,106,0,94
2020-01-27,0.0,0,51,0,0.0,330.0,-55,-82,13.0,5.0,51.0,17.0,-11.0,-11.0,0.0,0.0,,0,0,0,144,17,22,0.0,0.0,,,0,0,152,-11.0,-50.0,-17.0,0,0.0,,0.0,0.0,0.0,,,,3,3.0,0.0,17,6,0,0,0,111,72,78
2020-01-28,0.0,0,51,10,5.0,330.0,-21,-66,0.0,0.0,51.0,6.0,-17.0,-17.0,0.0,0.0,,0,0,0,133,17,17,0.0,0.0,,,0,0,127,0.0,-61.0,-50.0,0,0.0,,0.0,0.0,0.0,,,,0,0.0,0.0,11,-5,0,0,0,156,0,6
2020-01-29,0.0,0,51,0,0.0,330.0,-5,-32,0.0,0.0,51.0,-17.0,-28.0,-28.0,18.0,13.0,,69,0,0,22,11,11,25.0,25.0,25.0,25.0,0,0,127,-44.0,-89.0,-83.0,0,0.0,406.0,0.0,0.0,0.0,,,,0,0.0,0.0,0,-16,0,0,0,167,6,56
2020-01-30,0.0,0,51,0,0.0,330.0,6,-16,0.0,0.0,51.0,-11.0,-39.0,-39.0,15.0,18.0,,15,0,0,28,11,11,0.0,0.0,,,0,0,127,-44.0,-83.0,-61.0,0,0.0,406.0,0.0,0.0,0.0,,,,0,0.0,0.0,6,-21,0,0,0,122,44,50
2020-01-31,8.0,8,51,0,0.0,330.0,0,-43,0.0,0.0,51.0,-17.0,-39.0,-22.0,0.0,0.0,,0,0,0,33,11,33,0.0,0.0,,,0,0,102,-11.0,-61.0,-11.0,0,0.0,406.0,0.0,0.0,0.0,,,,0,0.0,0.0,39,-21,25,0,0,89,44,56
2020-02-01,18.0,13,51,0,0.0,330.0,50,-105,0.0,0.0,25.0,6.0,-39.0,-11.0,0.0,0.0,,25,0,0,78,33,44,0.0,0.0,,,3,0,102,17.0,-11.0,6.0,0,0.0,,0.0,0.0,0.0,50.0,11.0,17.0,10,10.0,0.0,17,-32,13,0,0,89,56,78
2020-02-02,0.0,0,51,0,0.0,300.0,78,0,61.0,56.0,102.0,6.0,-17.0,-6.0,0.0,0.0,,0,0,0,128,28,44,0.0,0.0,,,0,0,76,67.0,6.0,39.0,0,0.0,,0.0,0.0,0.0,167.0,11.0,83.0,0,0.0,0.0,122,6,0,0,0,133,33,122
2020-02-03,0.0,0,51,0,0.0,250.0,0,-105,0.0,0.0,51.0,33.0,-28.0,-28.0,0.0,0.0,,0,0,0,183,44,122,0.0,0.0,,,0,0,25,150.0,-17.0,-17.0,0,0.0,,0.0,0.0,0.0,167.0,11.0,150.0,0,0.0,0.0,167,11,0,0,0,222,94,94
2020-02-04,0.0,0,25,0,0.0,250.0,-60,-160,0.0,0.0,51.0,44.0,-33.0,-6.0,0.0,0.0,,46,0,0,178,106,144,0.0,0.0,,,0,0,25,33.0,-33.0,-33.0,0,0.0,,155.0,0.0,0.0,,6.0,6.0,61,0.0,0.0,156,0,0,0,0,228,94,156
2020-02-05,0.0,0,0,0,0.0,250.0,-10,-143,0.0,0.0,51.0,6.0,-72.0,-67.0,18.0,0.0,,229,0,0,150,22,28,0.0,0.0,,,0,0,25,-17.0,-67.0,-67.0,0,0.0,,74.0,0.0,0.0,39.0,-28.0,-22.0,66,0.0,0.0,17,-21,432,0,0,178,72,72
2020-02-06,25.0,38,25,3,8.0,230.0,-16,-121,3.0,5.0,51.0,-22.0,-72.0,-44.0,79.0,86.0,89.0,0,0,0,28,0,6,0.0,0.0,,,0,0,25,-33.0,-117.0,-100.0,0,0.0,,0.0,0.0,0.0,-22.0,-39.0,-39.0,64,0.0,0.0,11,-16,178,0,0,106,17,17
2020-02-07,3.0,3,25,0,0.0,230.0,-121,-177,51.0,64.0,152.0,-28.0,-50.0,-33.0,0.0,0.0,,51,3,0,11,-28,-17,0.0,0.0,,,0,0,0,-6.0,-100.0,-39.0,0,0.0,,0.0,25.0,0.0,11.0,-50.0,-17.0,46,53.0,30.0,-10,-43,25,0,0,33,-11,-11
2020-02-08,0.0,0,25,0,0.0,230.0,-16,-166,8.0,20.0,127.0,-33.0,-106.0,-106.0,5.0,3.0,,0,0,0,67,-17,-6,0.0,0.0,,,8,8,0,-22.0,-83.0,-83.0,0,0.0,,0.0,0.0,0.0,11.0,-22.0,-6.0,0,0.0,30.0,0,-71,0,0,0,89,-28,17
2020-02-09,0.0,0,25,0,0.0,230.0,6,-138,0.0,0.0,127.0,-44.0,-117.0,-44.0,8.0,,,0,0,0,106,-6,106,0.0,0.0,,,0,0,0,11.0,-89.0,11.0,0,0.0,,267.0,0.0,0.0,89.0,-39.0,89.0,25,25.0,0.0,33,-43,0,0,0,122,6,67
2020-02-10,33.0,13,25,0,0.0,230.0,6,-143,64.0,99.0,152.0,6.0,-44.0,-22.0,64.0,,,99,0,0,172,106,133,0.0,0.0,,,0,0,0,61.0,-89.0,-89.0,0,0.0,,107.0,0.0,0.0,161.0,6.0,6.0,38,0.0,0.0,61,11,246,0,0,194,67,106
2020-02-11,0.0,0,0,0,0.0,230.0,-16,-132,0.0,0.0,127.0,-11.0,-56.0,-50.0,0.0,0.0,,71,0,0,133,22,22,0.0,0.0,,,0,0,0,33.0,-89.0,-33.0,0,0.0,,0.0,0.0,0.0,28.0,-11.0,0.0,0,0.0,0.0,39,-5,160,0,0,150,33,44
2020-02-12,0.0,0,0,15,25.0,200.0,-10,-260,0.0,0.0,127.0,-11.0,-56.0,-44.0,0.0,0.0,,69,0,0,56,22,28,13.0,25.0,25.0,13.0,0,0,0,22.0,-33.0,-22.0,0,0.0,,84.0,,,67.0,-28.0,56.0,127,104.0,0.0,22,-43,0,0,0,67,33,44
2020-02-13,33.0,30,25,0,0.0,230.0,-155,-293,13.0,25.0,152.0,6.0,-50.0,-44.0,137.0,61.0,64.0,203,0,0,44,28,28,25.0,51.0,51.0,25.0,48,56,51,11.0,-222.0,-217.0,0,0.0,,0.0,,,61.0,-122.0,-122.0,28,18.0,50.0,11,-49,198,0,0,139,39,56
2020-02-14,0.0,0,25,0,0.0,230.0,-5,-232,5.0,51.0,178.0,-44.0,-167.0,-167.0,0.0,0.0,,0,0,0,44,-78,-78,0.0,0.0,51.0,,0,0,51,-150.0,-244.0,-228.0,0,0.0,,0.0,,,-94.0,-178.0,-111.0,0,5.0,50.0,-49,-121,0,0,0,56,-72,-56
2020-02-15,0.0,0,25,0,0.0,200.0,11,-55,0.0,0.0,152.0,-83.0,-172.0,-139.0,0.0,0.0,,0,0,0,-17,-78,-39,0.0,0.0,51.0,,0,0,25,-33.0,-228.0,-33.0,0,0.0,,0.0,0.0,0.0,44.0,-117.0,39.0,0,0.0,50.0,17,-132,0,0,0,150,-56,139
2020-02-16,0.0,0,25,0,0.0,180.0,-27,-77,0.0,0.0,127.0,-6.0,-139.0,-17.0,0.0,0.0,,0,0,0,83,-39,39,0.0,0.0,,,0,0,0,61.0,-56.0,-50.0,0,0.0,,0.0,0.0,0.0,56.0,-22.0,-22.0,0,0.0,50.0,61,-16,0,0,0,150,72,106
2020-02-17,0.0,0,0,0,0.0,180.0,-10,-60,0.0,0.0,127.0,17.0,-117.0,-117.0,0.0,0.0,,0,0,0,133,39,89,0.0,0.0,,,0,0,0,78.0,-50.0,6.0,30,305.0,305.0,102.0,0.0,0.0,83.0,-33.0,78.0,0,0.0,0.0,72,-43,0,0,0,133,33,94
2020-02-18,0.0,0,0,8,13.0,180.0,-32,-171,61.0,61.0,152.0,6.0,-122.0,6.0,10.0,,,36,0,0,150,89,117,0.0,0.0,,,8,0,0,72.0,-44.0,-44.0,0,0.0,,13.0,0.0,0.0,106.0,-17.0,-17.0,15,0.0,0.0,111,-5,69,0,0,161,78,161
2020-02-19,0.0,0,0,0,0.0,180.0,-127,-249,0.0,0.0,102.0,33.0,-83.0,-83.0,0.0,0.0,,46,0,0,117,-6,-6,0.0,0.0,,,0,0,0,22.0,-100.0,-94.0,0,0.0,,0.0,0.0,0.0,22.0,-44.0,-17.0,0,0.0,0.0,22,-43,58,0,0,161,22,106
2020-02-20,0.0,0,0,0,0.0,180.0,-66,-271,0.0,0.0,102.0,-44.0,-117.0,-106.0,0.0,0.0,,0,0,0,83,-6,17,0.0,0.0,0.0,,0,0,0,-44.0,-150.0,-150.0,0,0.0,,0.0,0.0,0.0,-17.0,-72.0,-67.0,0,0.0,0.0,-27,-93,71,0,0,122,11,22
2020-02-21,0.0,0,0,0,0.0,180.0,33,-121,0.0,0.0,102.0,-56.0,-111.0,-106.0,0.0,0.0,,10,0,0,67,-56,-56,0.0,0.0,,,0,0,0,-50.0,-156.0,-83.0,0,0.0,,0.0,0.0,0.0,22.0,-94.0,-22.0,0,0.0,0.0,11,-110,0,0,0,61,-56,-44
2020-02-22,0.0,0,0,0,0.0,180.0,50,-138,0.0,0.0,102.0,6.0,-106.0,-33.0,0.0,0.0,,0,0,0,33,-56,-33,0.0,0.0,,,0,0,0,28.0,-83.0,-11.0,0,0.0,,0.0,0.0,0.0,117.0,-22.0,56.0,0,0.0,0.0,83,-60,0,0,0,72,-72,50
2020-02-23,0.0,0,0,0,0.0,180.0,33,-71,0.0,0.0,76.0,50.0,-33.0,-6.0,0.0,0.0,,0,0,0,89,-33,50,0.0,0.0,,,0,0,0,111.0,-11.0,-6.0,0,0.0,,,,,,,,0,0.0,0.0,100,-21,0,0,0,128,28,89
2020-02-24,0.0,0,0,3,0.0,150.0,17,-66,0.0,0.0,51.0,106.0,-11.0,-11.0,89.0,,,152,0,0,89,50,83,203.0,,,,0,0,0,167.0,-6.0,6.0,0,0.0,,74.0,0.0,0.0,167.0,39.0,117.0,53,0.0,0.0,111,6,102,0,0,128,67,78
2020-02-25,3.0,0,0,0,0.0,150.0,-21,-116,0.0,0.0,25.0,56.0,-17.0,6.0,216.0,13.0,13.0,38,0,0,156,78,78,0.0,0.0,,,0,0,0,50.0,0.0,0.0,0,0.0,,119.0,0.0,0.0,211.0,44.0,44.0,71,0.0,0.0,94,33,132,0,0,139,72,89
2020-02-26,10.0,10,0,0,0.0,150.0,-32,-116,5.0,10.0,25.0,22.0,-28.0,-28.0,46.0,36.0,38.0,0,0,0,94,28,28,0.0,0.0,,,0,0,0,0.0,-33.0,-17.0,0,0.0,203.0,102.0,0.0,0.0,200.0,-39.0,-39.0,58,13.0,0.0,56,-32,10,0,0,111,33,44
2020-02-27,0.0,0,0,0,0.0,150.0,-21,-127,36.0,61.0,102.0,-28.0,-83.0,-78.0,0.0,,,0,0,0,33,-28,-28,0.0,0.0,,,0,0,0,6.0,-56.0,-39.0,0,0.0,,0.0,,,22.0,-50.0,-33.0,8,20.0,30.0,-21,-66,0,0,0,61,-39,-33
2020-02-28,0.0,0,0,0,0.0,150.0,-16,-82,0.0,0.0,102.0,-44.0,-89.0,-78.0,0.0,0.0,,0,0,0,94,-33,28,0.0,,,,0,0,0,39.0,-50.0,-11.0,0,0.0,,0.0,0.0,0.0,89.0,-67.0,-67.0,0,0.0,30.0,-27,-82,0,0,0,111,-33,100
2020-02-29,0.0,0,0,0,0.0,150.0,39,-43,5.0,25.0,76.0,-44.0,-83.0,-83.0,0.0,0.0,,0,0,0,128,11,11,0.0,0.0,,,0,0,0,28.0,-89.0,-67.0,0,0.0,,0.0,0.0,0.0,6.0,-89.0,-22.0,0,0.0,30.0,-10,-71,0,0,0,117,0,44
2020-03-01,0.0,0,0,0,0.0,130.0,44,-55,0.0,0.0,51.0,0.0,-89.0,-56.0,0.0,0.0,,0,0,0,133,6,100,0.0,0.0,,,0,0,0,106.0,-67.0,78.0,0,0.0,,0.0,0.0,0.0,139.0,-28.0,128.0,0,0.0,0.0,89,-77,0,0,0,167,44,144
