month,count_by_mon,count_by_quater
201307,95,
201308,358,
201309,289,742
201310,449,
201311,322,
201312,295,1066
201401,346,
201402,393,
201403,211,950
201404,416,
201405,394,
201406,367,1177
201407,600,
201408,542,
201409,501,1643
201410,752,
201411,594,
201412,598,
201501,659,1851
201502,956,
201503,660,
201504,604,2220
201505,757,
201506,684,
201507,622,2063
201508,735,
201509,641,
201510,622,1998
201511,711,
201512,641,
201601,607,
201602,837,2085
201603,586,
201604,498,
201605,661,1745
201606,570,
201607,686,
201608,580,1836
201609,527,
201610,577,
201611,434,1538
201612,440,
201701,248,
201702,422,1110
201703,210,
201704,258,
201705,268,
201706,217,743
201707,210,
201708,213,
201709,191,614
201710,196,
201711,170,
201712,196,562
